CIDADE;INEP;NOME DA ESCOLA;EDICAO;CLASSIFICACAO;INICIAL;INTERMEDIARIO;FINAL;PROFICIENCIA
FORTALEZA;23067829;ESCOLA MUNICIPAL DEMOCRITO ROCHA;2018;Critico;35;37;43;250
FORTALEZA;23067829;ESCOLA MUNICIPAL DEMOCRITO ROCHA;2019;Critico;35;42;43;249
FORTALEZA;23067829;ESCOLA MUNICIPAL DEMOCRITO ROCHA;2022;Critico;47;44;39;247
FORTALEZA;23067977;ESCOLA MUNICIPAL DOLORES ALCANTARA;2018;Critico;37;30;32;233
FORTALEZA;23067977;ESCOLA MUNICIPAL DOLORES ALCANTARA;2019;Critico;35;40;51;233
FORTALEZA;23067977;ESCOLA MUNICIPAL DOLORES ALCANTARA;2022;Critico;42;40;32;240
FORTALEZA;23547995;ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER;2018;Critico;29;35;37;244
FORTALEZA;23547995;ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER;2019;Critico;25;37;36;241
FORTALEZA;23547995;ESCOLA MUNICIPAL DOM ALOISIO LORSCHEIDER;2022;Critico;42;37;35;245
FORTALEZA;23255668;ESCOLA MUNICIPAL DOM ANTONIO BATISTA DE FRAGOSO;2018;Critico;40;44;48;245
FORTALEZA;23255668;ESCOLA MUNICIPAL DOM ANTONIO BATISTA DE FRAGOSO;2019;Critico;42;48;51;246
FORTALEZA;23255668;ESCOLA MUNICIPAL DOM ANTONIO BATISTA DE FRAGOSO;2022;Critico;43;42;36;240
FORTALEZA;23073934;ESCOLA MUNICIPAL DOM MANOEL DA SILVA GOMES;2018;Critico;39;45;51;255
FORTALEZA;23073934;ESCOLA MUNICIPAL DOM MANOEL DA SILVA GOMES;2019;Critico;41;46;47;258
FORTALEZA;23073934;ESCOLA MUNICIPAL DOM MANOEL DA SILVA GOMES;2022;Critico;40;45;46;251
FORTALEZA;23068167;ESCOLA MUNICIPAL EDILSON BRASIL SOAREZ;2018;Critico;38;43;44;241
FORTALEZA;23068167;ESCOLA MUNICIPAL EDILSON BRASIL SOAREZ;2019;Critico;37;41;43;232
FORTALEZA;23068167;ESCOLA MUNICIPAL EDILSON BRASIL SOAREZ;2022;Critico;37;41;42;231
FORTALEZA;23214899;ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE;2019;Muito Critico;34;39;40;217
FORTALEZA;23214899;ESCOLA MUNICIPAL EDUCADOR PAULO FREIRE;2022;Muito Critico;35;39;40;219
FORTALEZA;23069953;ESCOLA MUNICIPAL FRANCISCA ORIA SERPA;2018;Critico;42;47;49;265
FORTALEZA;23069953;ESCOLA MUNICIPAL FRANCISCA ORIA SERPA;2019;Critico;43;49;50;272
FORTALEZA;23069953;ESCOLA MUNICIPAL FRANCISCA ORIA SERPA;2022;Critico;40;45;46;250
FORTALEZA;23273763;ESCOLA MUNICIPAL FRANCISCA ORIA SERPA - UNID II - EF;2019;Critico;37;42;43;233
FORTALEZA;23070021;ESCOLA MUNICIPAL FRANCISCO DOMINGOS DA SILVA;2019;Critico;41;46;47;255
FORTALEZA;23070021;ESCOLA MUNICIPAL FRANCISCO DOMINGOS DA SILVA;2022;Critico;39;44;45;245
FORTALEZA;23071168;ESCOLA MUNICIPAL FRANCISCO SILVA CAVALCANTE;2018;Critico;40;44;46;249
FORTALEZA;23071168;ESCOLA MUNICIPAL FRANCISCO SILVA CAVALCANTE;2019;Critico;40;44;46;249
FORTALEZA;23071168;ESCOLA MUNICIPAL FRANCISCO SILVA CAVALCANTE;2022;Critico;38;43;44;240
FORTALEZA;23068892;ESCOLA MUNICIPAL FREI LAURO SCHWARTE;2019;Critico;41;46;47;255
FORTALEZA;23068892;ESCOLA MUNICIPAL FREI LAURO SCHWARTE;2022;Critico;42;47;48;263
FORTALEZA;23068892;ESCOLA MUNICIPAL FREI LAURO SCHWARTZ;2018;Critico;43;48;49;269
FORTALEZA;23186160;ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA;2018;Critico;39;44;45;244
FORTALEZA;23186160;ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA;2019;Critico;40;44;45;246
FORTALEZA;23186160;ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA;2022;Critico;37;41;43;232
FORTALEZA;23073870;ESCOLA MUNICIPAL GENERAL MANOEL CORDEIRO NETO;2018;Critico;40;44;46;249
FORTALEZA;23073870;ESCOLA MUNICIPAL GENERAL MANOEL CORDEIRO NETO;2019;Critico;38;42;43;234
FORTALEZA;23073870;ESCOLA MUNICIPAL GENERAL MANOEL CORDEIRO NETO;2022;Critico;38;43;44;239
FORTALEZA;23257369;ESCOLA MUNICIPAL GODOFREDO DE CASTRO FILHO;2018;Critico;39;43;44;241
FORTALEZA;23257369;ESCOLA MUNICIPAL GODOFREDO DE CASTRO FILHO;2019;Critico;39;43;45;243
FORTALEZA;23257369;ESCOLA MUNICIPAL GODOFREDO DE CASTRO FILHO;2022;Critico;38;42;44;238
FORTALEZA;23069945;ESCOLA MUNICIPAL GOVERNADOR FAUSTINO DE ALBUQUERQUE;2018;Critico;40;44;45;247
FORTALEZA;23069945;ESCOLA MUNICIPAL GOVERNADOR FAUSTINO DE ALBUQUERQUE;2019;Critico;39;43;44;240
FORTALEZA;23069945;ESCOLA MUNICIPAL GOVERNADOR FAUSTINO DE ALBUQUERQUE;2022;Critico;39;44;45;244
FORTALEZA;23070846;ESCOLA MUNICIPAL GUIOMAR DA SILVA ALMEIDA;2018;Critico;33;43;43;252
FORTALEZA;23070870;ESCOLA MUNICIPAL GUSTAVO BARROSO;2018;Critico;42;46;47;271
FORTALEZA;23070870;ESCOLA MUNICIPAL GUSTAVO BARROSO;2019;Critico;40;45;46;271
FORTALEZA;23070870;ESCOLA MUNICIPAL GUSTAVO BARROSO;2022;Critico;39;43;44;262
FORTALEZA;23070960;ESCOLA MUNICIPAL HENRIQUETA GALENO;2018;Critico;37;41;43;256
FORTALEZA;23070960;ESCOLA MUNICIPAL HENRIQUETA GALENO;2019;Critico;37;41;42;252
FORTALEZA;23070960;ESCOLA MUNICIPAL HENRIQUETA GALENO;2022;Critico;35;39;40;245
FORTALEZA;23234318;ESCOLA MUNICIPAL HERONDINA LIMA CAVALCANTE;2019;Critico;35;39;40;248
FORTALEZA;23234318;ESCOLA MUNICIPAL HERONDINA LIMA CAVALCANTE;2022;Critico;43;47;49;245
FORTALEZA;23071427;ESCOLA MUNICIPAL ISMAEL PORDEUS;2018;Critico;44;49;50;273
FORTALEZA;23071427;ESCOLA MUNICIPAL ISMAEL PORDEUS;2019;Critico;40;45;46;258
FORTALEZA;23071427;ESCOLA MUNICIPAL ISMAEL PORDEUS;2022;Critico;38;42;43;249
FORTALEZA;23233842;ESCOLA MUNICIPAL JOAO ESTANISLAU FACANHA;2018;Critico;41;46;47;243
FORTALEZA;23233842;ESCOLA MUNICIPAL JOAO ESTANISLAU FACANHA;2019;Critico;39;44;45;241
FORTALEZA;23233842;ESCOLA MUNICIPAL JOAO ESTANISLAU FACANHA;2022;Critico;40;44;46;241
FORTALEZA;23263130;ESCOLA MUNICIPAL JOAO HILDO DE CARVALHO FURTADO;2018;Critico;40;44;46;252
FORTALEZA;23263130;ESCOLA MUNICIPAL JOAO HILDO DE CARVALHO FURTADO;2019;Critico;39;43;44;248
FORTALEZA;23263130;ESCOLA MUNICIPAL JOAO HILDO DE CARVALHO FURTADO;2022;Critico;41;46;47;231
FORTALEZA;23071850;ESCOLA MUNICIPAL JOAO MENDES DE ANDRADE;2018;Critico;42;47;48;240
FORTALEZA;23071850;ESCOLA MUNICIPAL JOAO MENDES DE ANDRADE;2019;Critico;43;48;49;238
FORTALEZA;23071850;ESCOLA MUNICIPAL JOAO MENDES DE ANDRADE;2022;Muito Critico;39;44;45;221
FORTALEZA;23072016;ESCOLA MUNICIPAL JOAQUIM ALVES;2018;Critico;40;44;45;231
FORTALEZA;23072016;ESCOLA MUNICIPAL JOAQUIM ALVES;2019;Critico;37;41;43;237
FORTALEZA;23185066;ESCOLA MUNICIPAL JOAQUIM NOGUEIRA;2018;Critico;40;44;46;261
FORTALEZA;23185066;ESCOLA MUNICIPAL JOAQUIM NOGUEIRA;2019;Critico;38;42;43;260
FORTALEZA;23185066;ESCOLA MUNICIPAL JOAQUIM NOGUEIRA;2022;Critico;38;43;44;244
FORTALEZA;23274034;ESCOLA MUNICIPAL JOHNSON;2019;Critico;39;43;44;243
FORTALEZA;23274034;ESCOLA MUNICIPAL JOHNSON;2022;Critico;39;43;45;249
FORTALEZA;23234067;ESCOLA MUNICIPAL JONATHAN DA ROCHA ALCOFORADO;2018;Critico;38;42;44;259
FORTALEZA;23234067;ESCOLA MUNICIPAL JONATHAN DA ROCHA ALCOFORADO;2019;Critico;40;44;45;267
FORTALEZA;23234067;ESCOLA MUNICIPAL JONATHAN DA ROCHA ALCOFORADO;2022;Critico;39;43;44;260
FORTALEZA;23080124;ESCOLA MUNICIPAL JORNALISTA DURVAL AIRES;2022;Critico;39;44;45;241
FORTALEZA;23244305;ESCOLA MUNICIPAL JOSE ALCIDES PINTO;2018;Critico;39;44;45;245
FORTALEZA;23244305;ESCOLA MUNICIPAL JOSE ALCIDES PINTO;2019;Critico;39;43;44;241
FORTALEZA;23244305;ESCOLA MUNICIPAL JOSE ALCIDES PINTO;2022;Critico;38;42;43;235
FORTALEZA;23072202;ESCOLA MUNICIPAL JOSE AYRTON TEIXEIRA;2018;Critico;39;43;44;240
FORTALEZA;23072202;ESCOLA MUNICIPAL JOSE AYRTON TEIXEIRA;2019;Critico;38;43;44;239
FORTALEZA;23072202;ESCOLA MUNICIPAL JOSE AYRTON TEIXEIRA;2022;Muito Critico;35;39;40;219
FORTALEZA;23072245;ESCOLA MUNICIPAL JOSE BONIFACIO DE SOUSA;2018;Critico;40;44;46;248
FORTALEZA;23072245;ESCOLA MUNICIPAL JOSE BONIFACIO DE SOUSA;2019;Critico;39;43;44;241
FORTALEZA;23072245;ESCOLA MUNICIPAL JOSE BONIFACIO DE SOUSA;2022;Critico;39;43;44;240
FORTALEZA;23270675;ESCOLA MUNICIPAL JOSE CARLOS DA COSTA RIBEIRO;2022;Critico;36;40;41;225
FORTALEZA;23072270;ESCOLA MUNICIPAL JOSE DE ALENCAR;2018;Critico;40;45;46;250
FORTALEZA;23072270;ESCOLA MUNICIPAL JOSE DE ALENCAR;2019;Critico;39;44;45;245
FORTALEZA;23072270;ESCOLA MUNICIPAL JOSE DE ALENCAR;2022;Critico;38;42;43;236
FORTALEZA;23072512;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;2018;Critico;42;47;48;261
FORTALEZA;23072512;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;2019;Critico;42;47;48;263
FORTALEZA;23072512;ESCOLA MUNICIPAL JOSE RAMOS TORRES DE MELO;2022;Critico;42;46;48;259
FORTALEZA;23255641;ESCOLA MUNICIPAL MANOEL RODRIGUES;2018;Critico;41;46;47;257
FORTALEZA;23255641;ESCOLA MUNICIPAL MANOEL RODRIGUES;2019;Critico;40;45;46;252
FORTALEZA;23255641;ESCOLA MUNICIPAL MANOEL RODRIGUES;2022;Critico;39;43;44;241
FORTALEZA;23184558;ESCOLA MUNICIPAL MANUEL LIMA SOARES;2018;Critico;38;42;44;238
FORTALEZA;23184558;ESCOLA MUNICIPAL MANUEL LIMA SOARES;2019;Critico;40;44;45;246
FORTALEZA;23184558;ESCOLA MUNICIPAL MANUEL LIMA SOARES;2022;Critico;37;41;42;231
FORTALEZA;23073543;ESCOLA MUNICIPAL MARIA DE LOURDES RIBEIRO JEREISSATI;2018;Muito Critico;36;40;41;223
FORTALEZA;23073543;ESCOLA MUNICIPAL MARIA DE LOURDES RIBEIRO JEREISSATI;2019;Critico;38;42;43;235
FORTALEZA;23073543;ESCOLA MUNICIPAL MARIA DE LOURDES RIBEIRO JEREISSATI;2022;Critico;38;42;44;238
FORTALEZA;23198818;ESCOLA MUNICIPAL MARIA FELICIO LOPES;2018;Critico;39;43;45;243
FORTALEZA;23198818;ESCOLA MUNICIPAL MARIA FELICIO LOPES;2019;Critico;39;44;45;244
FORTALEZA;23198818;ESCOLA MUNICIPAL MARIA FELICIO LOPES;2022;Critico;36;40;42;226
FORTALEZA;23073667;ESCOLA MUNICIPAL MARIA HELENILCE CAVALCANTE LEITE MARTINS;2018;Critico;39;43;44;240
FORTALEZA;23073667;ESCOLA MUNICIPAL MARIA HELENILCE CAVALCANTE LEITE MARTINS;2019;Critico;38;42;43;234
FORTALEZA;23073667;ESCOLA MUNICIPAL MARIA HELENILCE CAVALCANTE LEITE MARTINS;2022;Muito Critico;36;40;41;223
FORTALEZA;23213140;ESCOLA MUNICIPAL MARIA ROCHELLE DA SILVA;2022;Critico;37;41;42;231
FORTALEZA;23073764;ESCOLA MUNICIPAL MARIA VIVIANE BENEVIDES GOUVEIA;2018;Critico;39;43;45;243
FORTALEZA;23073764;ESCOLA MUNICIPAL MARIA VIVIANE BENEVIDES GOUVEIA;2019;Critico;37;41;42;229
FORTALEZA;23073764;ESCOLA MUNICIPAL MARIA VIVIANE BENEVIDES GOUVEIA;2022;Critico;38;42;44;238
FORTALEZA;23073772;ESCOLA MUNICIPAL MARIA ZELIA CORREIA DE SOUZA;2018;Critico;40;45;46;251
FORTALEZA;23073772;ESCOLA MUNICIPAL MARIA ZELIA CORREIA DE SOUZA;2019;Critico;40;45;46;252
FORTALEZA;23073772;ESCOLA MUNICIPAL MARIA ZELIA CORREIA DE SOUZA;2022;Critico;37;41;42;231
FORTALEZA;23074078;ESCOLA MUNICIPAL MARIETA CALS;2018;Critico;39;43;44;241
FORTALEZA;23074078;ESCOLA MUNICIPAL MARIETA CALS;2019;Critico;38;43;44;238
FORTALEZA;23074078;ESCOLA MUNICIPAL MARIETA CALS;2022;Critico;39;44;45;244
